rank,title,synopsis,cover_image_url,rating,chapters,published_date,tags,link
153,Trace,"The story set in the contemporary South Korea. Some 30 years ago, unidentified creatures appeared out of nowhere and have attacked people. They have caused massive destruction wherever they go. The monsters are called ""Trouble,"" and get the world have fallen into chaos. Along with the first appearance of the ""Troubles,"" some number of humans were born with or acquired supernatural abilities. These mutants called ""Trace"" are the only ones who can fight off the ""Trouble."" The ""Trace"" are also considered freaks and generally shunned by the community because some of them misused the powers for their own interest.The plot revolves around two main characters. Sah Gang-kwon, a high school student born as a ""Trace"" who attempts to hide his ability. The other is Kim Yun-Seong, who acquired his ""Trace"" abilities during his early 30s. Soon after the acquisition, his wife and daughter were taken away from him for experimental purposes.(Source: Wikipedia)",https://cdn.myanimelist.net/images/manga/2/33891.jpg,7.85,177,"Apr  3, 2007 to Feb  13, 2009","Action, Fantasy, Urban Fantasy",https://myanimelist.net/manga/16791/Trace
154,The Villainess Flips the Script!,"Luca Winterwald's childhood was bleak: he never knew his father, his mother passed away, and he was left in the care of his greedy and abusive aunt, Judith Maibaum. Upon turning 10 years old, his uncle and only ally, Viscount Ruediger, takes him to the Winterwald Duchy, where Luca is to succeed the title of duke and embark on a bloodstained journey of vengeance against those who doubt his legitimacy.A fan of the novel depicting Luca's revenge story unexpectedly reincarnates as Judith—the first minor villain to die. Wishing not to waste her second chance at life, she decides to change Judith's fate and lead an unassuming life once Luca leaves with Ruediger. Although Luca distrusts Judith's sudden kindness, on the fateful day of Ruediger's arrival, he refuses to part with his aunt!It may be completely off-script, but Judith joins Luca, swearing to use her knowledge of the plot to both save herself and ensure the future happiness of her adorable nephew.",https://cdn.myanimelist.net/images/manga/3/288109.jpg,7.84,Unknown,"Apr  24, 2021 to ?","Fantasy, Isekai, Villainess",https://myanimelist.net/manga/149161/The_Villainess_Flips_the_Script
155,Ending Maker,"After ""outboxer009"" wakes up in the body of Yuder Bayel from Legend of Heroes 2, he soon discovers that his rival ""sandstorm"" has also entered the game world as Cordelia Chace. These top-two-ranked old pros come to realize that navigating this game world is much harder than just pointing and clicking. With the apocalyptic conclusion of the game looming before them, they'll have to combine his quick wit, her foul mouth, and both their gamer mindsets to make a new, less cataclysmic ending.(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/1/266272.jpg,7.84,Unknown,"May  29, 2022 to ?","Action, Fantasy, Romance, Isekai",https://myanimelist.net/manga/150204/Ending_Maker
156,Duty After School,"Class 3-2 of Sungdong High School was just like any other class: a mismatched group of individuals preoccupied with their crushes, upcoming university exams, and other ordinary day-to-day worries. Yet, when strange purple orbs rain down from the sky one day, the students find their lives changing beyond the limits of imagination.Capable of sporadic and sudden destruction, these spheres quickly send the world into a panic. With the South Korean military forces stretched thin, the government hastily enlists those in secondary education and above into the army. Now drafted into military training, Class 3-2 must abruptly set down their pens and pick up rifles instead.Promised that they will encounter little danger—and that bonus university points await them post-service—the reluctant students are coaxed into accepting their new duty. Marching onward with an apathetic and easygoing attitude, the class begins their military service, unaware of the grim reality that will soon erode their innocent, carefree spirits.",https://cdn.myanimelist.net/images/manga/2/109663.jpg,7.84,50,"Nov  17, 2012 to Dec  14, 2013","Action, Drama, Sci-Fi, Military, Psychological, School",https://myanimelist.net/manga/64087/Duty_After_School
157,Moon You,"When an asteroid threatening to wipe away planet Earth appeared, humanity's brightest minds came together to develop the ""Moon Shield"" plan. To protect the planet, rockets would blast the asteroid apart, and the Moon would shield the Earth from the remaining debris. However, the plan failed by the smallest of margins: one sliver made it past the shield and crashed into Earth. There to witness the end of the world was Moon Yoo, a researcher left stranded on the Moon.Unable to find the courage to end his life, Moon decides to make the most of what he has as the last man alive. With supplies to last a lifetime and all the time in the world, Moon decides to explore the vast lunar base, unaware of the many secrets that lie in wait to be discovered—and the fact that he may not be as alone as he initially thought.",https://cdn.myanimelist.net/images/manga/1/227133.jpg,7.83,68,"Jun  16, 2016 to Sep  28, 2017","Comedy, Drama, Sci-Fi, Space",https://myanimelist.net/manga/124471/Moon_You
158,Latna Saga: Survival of a Sword King,"After being recently discharged from military service and just drifting through life, Hanbin Ryu is suddenly transported to another world. However, his ""guide line,"" the system bestowed upon him to help with his survival and growth, was filled with errors, causing him to be stuck in the tutorial stage for over 20 years. When he is finally released from this personal hell, he finds everyone has turned against otherworlders like him. Just how will this low-level, super-tutorial newbie survive?(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/2/260817.jpg,7.83,Unknown,"Dec  31, 2019 to ?","Action, Adventure, Fantasy, Isekai",https://myanimelist.net/manga/146982/Latna_Saga__Survival_of_a_Sword_King
159,The Villainess Turns the Hourglass,"As Aria Roscente walks to the gallows, the people cheer, elated to see the death of a true villainess. Her tale is a rags-to-riches story; after her mother married a count, Aria began flaunting her newfound wealth and abusing her status. The people could only pity her saint-like sister, Mielle, who had to put up with such a sibling for many years. But right before she dies, Aria learns the truth—her downfall was all part of Mielle's plan.When Aria reawakens, she finds she is in the past, and beside her is a mysterious hourglass. The former villainess now has only one goal: revenge. From the count's respect to her fiance's affection, everything that Mielle once loved will be Aria's. Using her knowledge of the future and the hourglass' power to turn back time, Aria will do whatever it takes, even if that means using others or faking a smile, to see her vengeance through.",https://cdn.myanimelist.net/images/manga/2/261146.jpg,7.83,125,"Mar  1, 2020 to Nov  4, 2022","Fantasy, Time Travel",https://myanimelist.net/manga/147207/The_Villainess_Turns_the_Hourglass
160,Miss Not-So Sidekick,"Kim Hyejung spends her nights gushing about The Flower of the Beast: a fantasy romance novel where the protagonist Ibelin Dott must choose between the affection of three men—the crown prince, a handsome duke, and the master of the magic tower. Despite its cliché premise, the novel is a source of comfort for Hyejung.On one of those nights, Hyejung falls asleep from exhaustion and wakes up in the world of The Flower of the Beast. She now inhabits the body of Latte Ectrie, the daughter of a viscount and a supporting character in the novel. With unlikely odds of meeting the male leads on her own, Latte decides to pour her energy into writing boys' love stories until the female lead comes onto the scene.After a decade, Ibelin is about to make her grand appearance at the crown princess' birthday party, and Latte is ready to watch the drama unfold from the sidelines. Little does she know, her antics have caused major changes. By chance, Latte has befriended Ibelin, and Arwin Hebrim—the third and most dangerous male lead—has taken an interest in Latte instead!",https://cdn.myanimelist.net/images/manga/1/262407.jpg,7.83,Unknown,"Dec  24, 2017 to ?","Comedy, Fantasy, Isekai, Villainess",https://myanimelist.net/manga/147827/Miss_Not-So_Sidekick
161,The Ember Knight,"When Nagyunn's twin brother, Najin, is murdered before his very eyes, he vows to avenge his brother's death by assuming Najin's identity. But although the two may look alike, when it comes to fighting, Nagyunn lacks the talent and skill his brother possessed. In order to successfully execute his plot for revenge, Nagyunn resolves to train himself to become the prodigious knight-in-training his brother once was. Will Nagyunn be able to keep his identity a secret before others begin to catch on to his act?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/1/263539.jpg,7.83,Unknown,"Mar  19, 2021 to ?","Action, Adventure, Fantasy",https://myanimelist.net/manga/148530/The_Ember_Knight
162,The Friendly Winter,"A 19-year-old girl with a rare growth disorder that leaves her in the body of a small child meets a boy with a mental disorder, who has the mind of a small boy in a 17-year-old's body. A Friendly Winter shares with us the endearing story of their day-to-day lives, joys and tribulations.(Source: MU)",https://cdn.myanimelist.net/images/manga/2/134801.jpg,7.82,65,"Oct  8, 2011 to Feb  23, 2013","Drama, Psychological",https://myanimelist.net/manga/77891/The_Friendly_Winter
