rank,title,synopsis,cover_image_url,rating,chapters,published_date,tags,link
1,The Greatest Estate Developer,"There is no bigger scum of the earth than Lloyd Frontera. He is the eldest son, yet all he does is drink and intimidate others, depleting what little is left of his family's wealth. The Fronteras' knight, Javier Asrahan, is destined to become a renowned swordmaster, and Lloyd's family will face pitiful deaths as their entire land falls to ruin under insurmountable debt.Though at some point Kim Suho was an average civil engineering student in Korea, he suddenly wakes up on a dirt road as none other than Lloyd, an ungrateful hooligan from the beginning of a book following Javier, the protagonist. While a sassy status window offers some clarity about his new identity, Suho is rather worried about his imminent downfall.To avoid becoming a beggar—and ultimately lead a sweet and comfortable life—Suho decides to fix Lloyd's scumbag image. With his engineering expertise and magical construction skills boost, Suho introduces modern innovations and city developments to this medieval-like world, drastically improving the people's quality of life—all for a nice sum of money.",https://cdn.myanimelist.net/images/manga/1/263543.jpg,9.03,Unknown,"Jul  30, 2021 to ?","Adventure, Comedy, Fantasy, Isekai, Reincarnation",https://myanimelist.net/manga/147272/The_Greatest_Estate_Developer
2,No Home,"The abandoned dormitory on the school's outskirts is haunted: the floors creak, creepy sounds fill the night's air, and only the bravest souls dare venture into this den of real-life ghosts. For Go Haejun, a second-year high school student who can see ghosts, it is the sole housing option after he misses the deadline to apply for a newer, safer dormitory. Things would not be so terrible if his only cohabitant were not a brazen and cheeky first-year student, Baek Eunyeong.Eunyeong also happens to be the one responsible for destroying Haejun's plans by shamelessly stealing and wasting all of Haejun's savings. On top of that, he is sloppy, parties constantly, and lies as easily as he breathes. Haejun wrestles with unresolved guilt after fighting with his mother and running away, but he lacks patience for Eunyeong's childish acting out. No matter their vast differences and how much they hate each other, Haejun and Eunyeong are forced to coexist, as neither has another place to call home.",https://cdn.myanimelist.net/images/manga/3/264873.jpg,8.79,269,"Dec  31, 2018 to Aug  5, 2024","Slice of Life, School",https://myanimelist.net/manga/147769/No_Home
3,On the Way to Meet Mom,"Only some children in the orphanage are lucky enough to have a patron—and a small, curious child named Mori starts receiving gifts one day. Mori does not speak, but he listens and enjoys the company of his friend, Rowena, who tells him everything he needs to know. But once Rowena disappears in the warm embrace of her mother, Mori realizes one thing: if every child has a mother, then his own must be out there somewhere.Having packed his little bag, put on his boots, and donned a red cape—undoubtedly a gift from his mother—Mori sets foot outside of the orphanage and begins his journey. The outside world is dangerous; ever since aliens took over Earth, humans have dwindled in numbers, and various creatures roam the vast lands and build their settlements. Ryder, a scarlet-skinned alien with horns and five eyes, encounters Mori and, realizing his origins and the dangers that await him, decides to help Mori's quest and protect him until he meets his mom.",https://cdn.myanimelist.net/images/manga/3/318287.jpg,8.77,31,"Nov  25, 2024 to Jun  10, 2025","Adventure, Fantasy, Childcare",https://myanimelist.net/manga/178182/On_the_Way_to_Meet_Mom
4,My Bias Gets on the Last Train,"Every night, Yeo-un takes the last train home—same route, same time, same routine. But one thing keeps catching his eye: a girl with a guitar and a presence that lingers in his mind. When a shared love for the indie band Long Afternoon sparks a conversation, their late-night encounters begin to turn into something more. But Hae-in isn't just another fan—she's the voice behind the band, a secret she can't afford to reveal. As music draws them closer, the truth may threaten to pull them apart. When the final note plays, will their story end in harmony... or heartbreak?(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/318971.jpg,8.73,Unknown,"Dec  14, 2024 to ?",Romance,https://myanimelist.net/manga/178671/My_Bias_Gets_on_the_Last_Train
5,The Horizon,"In a world ravaged by war, a young boy walks down a lonely road in the aftermath of his mother's death. Along his journey, he witnesses military tanks, dead bodies, and his beloved city in ruins. With eyes clouded by anguish, he pushes himself to keep moving forward.One morning, he meets a girl in an abandoned bus where he spent the night. Moments after their encounter, the area turns into a battlefield, and the pair escapes into a long abandoned lane. The two strangers decide to walk together to the end of the road, thus beginning a companionship that will ignite new hope inside their shriveled hearts.",https://cdn.myanimelist.net/images/manga/1/229331.jpg,8.69,21,"Mar  30, 2016 to Jul  21, 2016","Adventure, Drama, Psychological",https://myanimelist.net/manga/125036/The_Horizon
6,Omniscient Reader's Viewpoint,"Kim Dokja does not consider himself the protagonist of his own life. Befitting the name his parents gave him, he is a solitary person whose sole hobby is reading web novels. For over a decade, he has lived vicariously through Yoo Joonghyuk, the main character of the web novel Three Ways to Survive the Apocalypse (TWSA). Through Joonghyuk, Dokja has experienced secondhand the trials of repeatedly regressing in time, in search of an end to life-threatening ""scenarios"" that force people to act out narratives for the amusement of god-like ""Constellations.""After reading 3,149 chapters—long after all other readers lost interest—Dokja finally resigns himself to the story ending. However, he receives an enigmatic message from the author, stating that the story will soon be monetized, before his surroundings suddenly go dark. He swiftly realizes that fiction has become reality and he is now living through TWSA. Although he is the singular omniscient reader of the events yet to come, his success in the scenarios is not guaranteed—but perhaps his advantage will empower him to step into the protagonist role that never suited him before.",https://cdn.myanimelist.net/images/manga/2/238873.jpg,8.65,Unknown,"May  26, 2020 to ?","Action, Adventure, Fantasy, Urban Fantasy",https://myanimelist.net/manga/132214/Omniscient_Readers_Viewpoint
7,Solo Leveling,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills.However, this miserable lifestyle changes when Jin-Woo—believing himself to be the only one left to die in a mission gone terribly wrong—awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters.",https://cdn.myanimelist.net/images/manga/3/222295.jpg,8.6,201,"Mar  4, 2018 to May  31, 2023","Action, Adventure, Fantasy, Adult Cast, Urban Fantasy",https://myanimelist.net/manga/121496/Solo_Leveling
8,Seasons of Blossom,"Oh, to be young and in love. Oh, to be wild and carefree. The springtime of life is intense, tumultuous, and at times, oh so confusing. Spring, summer, fall and winter—love blossoms in all seasons.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/3/257932.jpg,8.6,135,"Jun  24, 2020 to Mar  24, 2023","Romance, Love Polygon",https://myanimelist.net/manga/145539/Seasons_of_Blossom
9,Wind Breaker,"Burdened with expectations since childhood, second-year high schooler Jo ""Jay"" Ja-Hyun feels obligated to aim for the top through his studies. Despite obtaining the title of student president at Taeyang High, he continues to study diligently, giving him little time to befriend others. However, possessing an exceptional talent for biking with a technique that astonishes other experienced bikers, there is more to him than meets the eye.One afternoon, while Jay is skidding his bike at high speed, he catches the interest of his classmate, Yoon Minu. Amazed by his unparalleled biking skill, Minu is quick to recruit him to his biking crew, but Jay coldly rejects the offer. With a determination to show Jay the fun of riding with others, Minu proposes a simple deal—to race against a member of his team, promising to leave him alone if he wins.",https://cdn.myanimelist.net/images/manga/1/189563.jpg,8.59,553,"Dec  15, 2013 to Jul  11, 2025","Drama, Sports",https://myanimelist.net/manga/103237/Wind_Breaker
10,The Legend of the Northern Blade,"For decades, the brave warriors of the Northern Heavenly Sect fought to keep the world safe from the evil Silent Night. But when the fourth generation leader is accused of colluding with the enemy, he is forced to disband the sect and commit suicide to protect his son, Moowon. With no family and allies left, Moowon leads a dreary life under close surveillance... until a surprise attack from the Silent Night gives him a chance to escape to the mountains. There, the young warrior trains to master the fighting techniques of his predecessors, before the mysterious disappearance of a loved one brings him back to the mainland. Follow Moowon as he embarks on a journey to avenge his father's death and take down the villains who threaten to plunge the world into darkness!(Source: Tappytoon)",https://cdn.myanimelist.net/images/manga/3/243483.jpg,8.58,202,"Dec  31, 2019 to Nov  19, 2024","Action, Adventure, Fantasy, Martial Arts",https://myanimelist.net/manga/134744/The_Legend_of_the_Northern_Blade
11,Webtoon Character Na Kang Lim,"Na Kang Lim, a high school student who enjoys reading webtoons, experiences a strange event one day when the female lead from his favorite webtoon appears before him. Even more surprising, the same incidents that put her in danger in the webtoon start happening in real life. The problem is, there's no protagonist in the real world to save her! Ultimately, Na Kang Lim takes on the role of the protagonist, looping through time to save her.(Source: Naver Corporation, translated)",https://cdn.myanimelist.net/images/manga/1/292948.jpg,8.56,172,"May  4, 2021 to Jul  9, 2024","Comedy, Romance, Supernatural, Harem, School, Time Travel",https://myanimelist.net/manga/164926/Webtoon_Character_Na_Kang_Lim
12,Eleceed,"Jiwoo is a kind-hearted young man who harnesses the lightning quick reflexes of a cat to secretly make the world a better place—one saved little child or foster pet at a time. Kayden is a secret agent on the run, who finds himself stuck in the body of a...um...decidedly fat old fluffy cat. Together, armed with Jiwoo's super powers and Kayden's uber-smarts, they're out to fight those forces who would let evil rule this world. That is, if they can stand each other long enough to get the job done.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/1/260660.jpg,8.53,Unknown,"Oct  2, 2018 to ?","Action, Super Power",https://myanimelist.net/manga/147171/Eleceed
13,After School Lessons for Unripe Apples,"Kim Cheol detests nothing more than attention, yet his oppressive height and a scar under his eye make him stick out like a sore thumb. In contrast, Cheol's new seatmate, Hwang Mi-ae, is incredibly outgoing and the shortest in their class. They look comical next to each other, and to add to their embarrassment, their names are the same as those of a famous but extremely ridiculous dancing duo.Cheol struggles with controlling his temper and avoids others by any means necessary, while all Mi-ae is interested in are comics, her favorite boy band, and going out with her friends. However, he is her new neighbor, and they even knew each other in early childhood. Despite everyone's fear of Cheol, Mi-ae notices his awkwardness and selfless nature and tries to befriend him. He may be difficult to approach for now, but through the busy days of studying for the high school entrance exams, Cheol will soon become Mi-ae's most precious person.",https://cdn.myanimelist.net/images/manga/1/261508.jpg,8.52,Unknown,"Dec  23, 2020 to ?","Romance, School",https://myanimelist.net/manga/147448/After_School_Lessons_for_Unripe_Apples
14,The Boxer,"Having suffered ruthless bullying for the better part of his life, 17-year-old Yu has become emotionally numb and dissociated from reality, no longer able to act like a normal human being. Although he possesses the exceptional talent to dodge punches, Yu prefers to let his perpetrators beat him down as he finds no meaning in his survival.Things begin to look up when Yu meets an old boxing trainer nicknamed ""K."" Having raised five champions, K's years of experience and an impressive gut feeling allow him to recognize Yu's near-superhuman fighting charisma immediately. K rushes to take Yu under his wing, despite the latter's apparent lack of interest.However, after being reminded of a bright memory from the past, Yu has a change of heart and accepts K's offer, hoping to experience the same light once again. Thus, Yu enters a world full of formidable adversaries—righteous and monstrous alike—and for the first time ever, he has no choice but to fight back.",https://cdn.myanimelist.net/images/manga/3/251281.jpg,8.5,123,"Dec  4, 2019 to May  4, 2022","Drama, Sports, Combat Sports",https://myanimelist.net/manga/141120/The_Boxer
15,Return of the Blossoming Blade,"When Cheongmyeong of the Mount Hua Sect awakens a hundred years in the future, his last memories are of a bloody battle against the Leader of the Demonic Cult, the evil Cheonma. The battle almost saw the end of the Ten Great Sects of ancient China, when Cheongmyeong ended the hard-fought struggle by striking down Cheonma. Soon after, he succumbed to his wounds, filled with regret at their pyrrhic victory. All is not lost, however, as he awakens to his second chance at life. Shocked to find his beloved Mount Hua Sect reduced to a mere shadow of itself in the present day, Cheongmyeong embarks on a journey to restore Mount Hua to its former glory.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/2/260760.jpg,8.5,Unknown,"Mar  23, 2021 to ?","Action, Adventure, Fantasy, Martial Arts, Reincarnation",https://myanimelist.net/manga/146878/Return_of_the_Blossoming_Blade
16,Who Made Me a Princess,"In the novel The Lovely Princess, the secondary character Athanasia de Alger Obelia is the most pitiful of all. Her mother died in childbirth and her father, Emperor Claude, never gave his daughter even an inch of love. Forever yearning for even the slightest bit of parental love, she was ultimately framed for a crime and executed by the orders of her beloved father.When a woman from modern-day Korea falls asleep with some sleeping pills, she later awakens in the infant body of Athanasia. Knowing the unenviable fate that awaits her, she resolves to remain out of her tyrannical father's sight so that she may never incur his wrath. However, fate is not so kind, and she meets him at only five years of age. With her original plan tossed out of the window, she now aims to endear herself so much to her father that he would never dream to hurt her.However, as many work toward their own ends, her plan is thrown into chaos—Athanasia's biological ""sister"" Jennette Margarita longs for a family, high-ranking nobility vie for power, and a shadow from Claude's past threatens to destroy everything he holds dear.",https://cdn.myanimelist.net/images/manga/1/222587.jpg,8.47,135,"Dec  20, 2017 to Dec  12, 2025","Drama, Fantasy, Reincarnation",https://myanimelist.net/manga/121269/Who_Made_Me_a_Princess
17,Villains Are Destined to Die,"The latest otome game is all the rage recently, so a regular university student decides to see for herself if its fame is well-deserved. She clears the normal mode in no time and finds herself pitying the villainess, Penelope Eckhart. Penelope is a fake―a replacement for the duke's missing daughter, the protagonist of the game.Initially confident about clearing the hard mode as well, the woman is shocked by the sheer leap in the level of difficulty, eventually passing out from exhaustion. However, when she wakes up, she no longer recognizes her surroundings, for she has been reincarnated into the body of the villainess!In a world where everyone seems to be out for her blood, Penelope must make wise decisions that keep her away from the death route. A tyrant prince, a suspicious magician, a nobleman from a fallen nation, or one of her nasty adoptive brothers―whose affections will she win?",https://cdn.myanimelist.net/images/manga/5/303096.jpg,8.47,Unknown,"May  1, 2020 to ?","Drama, Fantasy, Romance, Reverse Harem, Villainess",https://myanimelist.net/manga/133641/Villains_Are_Destined_to_Die
18,Lost in the Cloud,"Skylar has a secret hobby—taking photos of his crush, Chan-il. But when Cirrus stumbles upon Skylar's cloud storage with its impressive collection of Chan-il's photos, things escalate pretty quickly. At first confident his secret is safe with Cirrus, Skylar continuously finds himself in compromising situations, making him question Cirrus' true motives.(Source: Lezhin Comics)",https://cdn.myanimelist.net/images/manga/3/260548.jpg,8.46,131,"Nov  20, 2020 to Jan  17, 2025","Boys Love, Psychological, School",https://myanimelist.net/manga/143325/Lost_in_the_Cloud
19,Bastard,"There is nowhere that Seon Jin can find solace. At school, he is ruthlessly bullied due to his unsettlingly quiet nature and weak appearance. However, this is not the source of Jin's insurmountable terror: the thing that he fears more than anything else is his own father.To most, Jin's father is a successful businessman, good samaritan, and doting parent. But that is merely a facade; in truth, he is a deranged serial killer—and Jin is his unwilling accomplice. For years, they have been carrying out this ruse with the police being none the wiser. When his father takes an interest in the pretty transfer student Yoon Kyun, Jin must make a decision—be the coward who sends her to the gallows like all the rest, or be the bastard of a son who defies his wicked parent.",https://cdn.myanimelist.net/images/manga/1/204732.jpg,8.46,94,"Jul  4, 2014 to May  6, 2016","Drama, Horror, Mystery, Romance, Gore, Psychological",https://myanimelist.net/manga/111213/Bastard
20,Spirit Fingers,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked out...OR, if you're Amy Song you could join up with the Spirit Fingers—the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting.(Source: Webtoon Entertainment)",https://cdn.myanimelist.net/images/manga/3/206122.jpg,8.43,163,"May  16, 2015 to Jul  21, 2018","Comedy, Romance, Slice of Life",https://myanimelist.net/manga/112370/Spirit_Fingers
21,The Knight Only Lives Today,"""You're a genius."" Those words he heard as a child were poison. Encrid dreamed of becoming a knight, but he soon realized it was futile. ""You want to live by the sword with that level of skill?"" Some laughed at him. ""Just give up."" Some advised him against it. Despite that, his dream remained steadfast. He slept less, ran more, and trained harder. One day, he died, having been stabbed in the neck. Encrid opened his eyes again to ""today's"" morning.(Source: Naver Corporation, translated)",https://cdn.myanimelist.net/images/manga/1/303264.jpg,8.43,Unknown,"May  17, 2024 to ?","Action, Fantasy, Time Travel",https://myanimelist.net/manga/170427/The_Knight_Only_Lives_Today
22,The Breaker,"Yi ""Shioon"" Shi-Woon's everyday life at Nine Dragons High School—which consists of beatings from fellow student Ho Chang and his gang—is far from ideal. But one day, a mysterious man named Han Chun Woo spots one of these beatings and instead of offering support, brands Shioon a coward for refusing to fight back, adding insult to injury. To Shioon's surprise, he finds out that Chun Woo is the new substitute English teacher at his school.Tired of the daily abuse, Shioon decides to enroll at a martial arts academy to learn how to defend himself. On the way there, he stumbles upon Chun Woo in a predicament—cornered in an alley by a group of angry men! Provoked, Chun Woo suddenly dispatches them using martial arts techniques, which Shioon covertly records. Later, he uses this recording to blackmail Chun Woo into teaching him to defend himself. Reluctantly, Chun Woo agrees, and Shioon is soon thrust into the world of martial arts, known as Murim. However, Shioon is naive and unaware of his master's shady past and the unseen underbelly of society. How will Chun Woo manage to teach Shioon and help him survive in the world of Murim?",https://cdn.myanimelist.net/images/manga/2/55869.jpg,8.38,72,"Jun  1, 2007 to Jul  20, 2010","Action, Comedy, Drama, Martial Arts, School",https://myanimelist.net/manga/8586/The_Breaker
23,The Breaker: New Waves,"After Yi ""Shioon"" Shi-Woon's master, Goomoonryong, breaks his ki-center, leaving him unable to use his martial arts, he decides to leave the world of Murim and continue on with his normal life: going to school and coming home to his mother every day. However, Murim has other ideas.Discovered as the only true disciple of Goomoonryong and entrusted with the Phoenix Medallion of the Sunwoo Clan by Lady Sosul—making him the interim leader of the Sunwoo Clan—the world of Murim is not so eager to let Shioon leave. With his new status, enemies Shioon has never encountered before keep appearing before him, such as the organization known as Soldiers Under Command. They are intent on getting rid of him for the sake of their own prosperity, but how will Shioon defend himself without his ki-center intact?",https://cdn.myanimelist.net/images/manga/1/36942.jpg,8.37,203,"Oct  8, 2010 to May  8, 2015","Action, Comedy, Drama, Romance, Martial Arts, School",https://myanimelist.net/manga/22651/The_Breaker__New_Waves
24,Pick Me Up,"1-Star heroes are just fodder for learning a boss' attack patterns. That was Seojin Han's philosophy when playing the notoriously difficult game Pick Me Up. But after being transported into the game as one of those 1-star heroes, he's got no choice but to rise in rank and defeat the player controlling him and his party. Can a gacha game character hope to defeat a player akin to being his god?(Source: Tapas Media)",https://cdn.myanimelist.net/images/manga/1/274166.jpg,8.37,Unknown,"Dec  28, 2022 to ?","Action, Fantasy, Isekai, Video Game",https://myanimelist.net/manga/154587/Pick_Me_Up
25,Her Tale of Shim Chong,"Poverty-stricken Shim Chong will do anything to support herself and her blind father, going so far as to steal money from innocent strangers. Meanwhile, the future bride of the local minister lives in luxury, her every need taken care of so long as she remains an obedient wife.When an unfortunate accident leads to their fateful encounter, the pair who have nothing in common find themselves sharing the same wish—to leave their undesirable lives behind and die at the hands of fate.Loosely based on a Korean folktale of the same name,Her Tale of Shim Chongfollows two girls from different walks of life as they learn to accept themselves for who they are in a world where women are seen as less than equal.",https://cdn.myanimelist.net/images/manga/1/229462.jpg,8.36,77,"Sep  12, 2017 to Mar  19, 2019","Drama, Girls Love, Historical",https://myanimelist.net/manga/118737/Her_Tale_of_Shim_Chong
26,Daytime Star,"Hwang Yura has always dreamed of becoming a star. Unfortunately, luck does not seem to be on her side, as she has yet to land a major role despite making her debut seven years ago. Still, Yura continues to put her best foot forward and receives a role in a movie destined for success. Much to her dismay, she is once again cast in a minor role.Once on set, Yura runs into two familiar faces—her narcissistic ex-boyfriend Kim Jeong-u and famous actor Kang Seunghyeon. While Yura promises herself to keep her head in the game despite Jeong-u's egotistical presence, the handsome Seunghyeon takes an interest in her due to the circumstances of their previous encounters. Through the strenuous filming, the unknown actress and the lead star form a unique relationship. All the while, Yura tackles the relentless challenges of the entertainment industry on her journey to stardom.",https://cdn.myanimelist.net/images/manga/2/265157.jpg,8.36,77,"Jun  25, 2021 to Jan  9, 2023","Romance, Adult Cast, Showbiz",https://myanimelist.net/manga/149493/Daytime_Star
27,Tower of God,"Twenty-Fifth Bam had been alone his whole life until he met Rachel. Now, however, Rachel is set on climbing the Tower, and she is willing to leave Bam behind to do so. After Rachel disappears in a veil of light, Bam follows her, vowing to ascend the Tower in hopes of meeting her again.But the Tower is a dangerous place full of ancient secrets, fearsome monsters, and nefarious humans. Each floor is protected by an Administrator who puts the daring challengers through grueling tests that will push them to their limits.As he confronts Headon, the Administrator of the first floor, Bam learns that he is an ''Irregular,'' someone who was not chosen by the Tower but was able to enter it on his own, an extremely rare event inside the Tower. Regardless of this revelation, however, his path forward is clear. Be it wealth, power, glory, or even reuniting with Rachel, all desires will be realized at the top of the Tower.",https://cdn.myanimelist.net/images/manga/2/223694.jpg,8.35,Unknown,"Jul  5, 2010 to ?","Action, Adventure, Drama, Fantasy, Mystery",https://myanimelist.net/manga/122663/Tower_of_God
28,Whale Star: The Gyeongseong Mermaid,"""If the life that you had regained, was one that I had breathed back into you... Is it too much to hope for you to love me back with that life?""The year is 1926, in Japan-occupied Joseon. 17-year-old Soo-a is an illiterate handmaiden working for the household of a prominent Japanese collaborator. One day, she discovered an injured young man lying unconscious at the beach, an independence activist called Eui-hyeon. The sweet and innocent Soo-a nursed him back to health, and Eui-hyeon told her the tale of the ""Little Mermaid,"" a princess of the sea who saved a prince from his death. Having fallen in love with Eui-hyeon, Soo-a was determined to meet him once again. But she knew not then, of the fate that awaited the ""Little Mermaid"" on her quest to reunite with her beloved.(Source: MU)",https://cdn.myanimelist.net/images/manga/3/237965.jpg,8.35,109,"Jun  21, 2019 to Jul  9, 2021","Drama, Romance, Historical",https://myanimelist.net/manga/131338/Whale_Star__The_Gyeongseong_Mermaid
29,I Shall Master This Family,"The Lombardis were the most powerful family that ever existed in the empire. With unimaginable wealth, they shaped history, culture, and the arts—their influence rivaling that of the emperor. However, the family collapsed after making an alliance with the first prince, which resulted in futility as the second-born Perez Brivachali Durelli was crowned instead.A Korean woman is reincarnated as Firentia, the daughter of a Lombardi and a commoner. Despite her status as an illegitimate child, her father and grandfather love her, and she works hard to keep her family's prestige intact. After the two pass away, Firentia is kicked out and has since regretted how her relatives have torn the Lombardi name to shreds.On the verge of dying due to a carriage accident, Firentia is mysteriously given another chance in life and wakes up as her seven-year-old self. Firentia will not waste this opportunity, and if she wants to save her father and prevent the Lombardi's fall, she must prove to her grandfather her merit to become the next head of the family.",https://cdn.myanimelist.net/images/manga/1/261961.jpg,8.34,Unknown,"Feb  28, 2021 to ?","Fantasy, Time Travel",https://myanimelist.net/manga/147692/I_Shall_Master_This_Family
30,SSS-Class Revival Hunter,"After the Tower suddenly appeared, individuals who wished to pursue their personal values began to inhabit it, coming to be called ""hunters."" Everyone had their own goals, but only a chosen few were acknowledged and given powerful skills by the mysterious structure. Kim Gong-Ja, a weak F-Class hunter without any skills, is envious of those who were blessed by the Tower. Letting his jealousy overcome him one day, Gong-Ja abruptly receives a S-Class skill that allows him to copy a skill from someone else—after they kill him.Sooner than he likes, Gong-Ja gets to test his newly acquired ability on the legendary hunter known as the Flame Emperor. As he is dying, Gong-Ja learns the evil truth about the man he once admired the most. Receiving another potent skill that allows him to revive and go back in time by 24 hours, Gong-Ja devises a plan to travel 11 years into the past to eliminate the Flame Emperor and cement himself as the world's best hunter.",https://cdn.myanimelist.net/images/manga/1/260761.jpg,8.32,Unknown,"Dec  31, 2020 to ?","Action, Adventure, Fantasy, Time Travel",https://myanimelist.net/manga/146909/SSS-Class_Revival_Hunter
31,Leviathan,"The sea level rose to cover the continents. On a planet where dry land can no longer be found, the young Bota's family lives on a small boat and wanders the vast ocean. A harpooner who hunts in deep sea water may be the prey of a monster at any time, those who only appear at night. Will Bota and his family ever make it to safety and escape this aquatic hell?... And who in the world is Kana?!(Source: Toomics)",https://cdn.myanimelist.net/images/manga/3/265669.jpg,8.32,55,"Mar  19, 2018 to Apr  1, 2022","Action, Fantasy, Survival",https://myanimelist.net/manga/148137/Leviathan
32,"Myst, Might, Mayhem","Jeong, the Slaughtering Scythe Demon, feels joy in killing others. He happens to look just like Mok Gyeongwoon, the third young master of the Mok Sword Manor...""Be my substitute, and I'll let you out of prison.""""That opportunity. Will you give it to me?""Crack!!!He kills the Third Young Master and decides to become the real one. Can the fake Mok Gyeongwoon survive as the real one? The serial killer begins his new life as the Third Young Master of the Great Mok Sword Manor.(Source: Naver, translated)",https://cdn.myanimelist.net/images/manga/3/300118.jpg,8.28,Unknown,"Mar  4, 2024 to ?","Action, Fantasy, Martial Arts",https://myanimelist.net/manga/168980/Myst_Might_Mayhem
33,I Love Amy,"Bibi is a bubbly girl who's deeply obsessed with Peter, the cutest boy at her high school. So when she sees a random girl talking to him, Bibi invites her to a sleepover with malicious intent... only to have a surprisingly nice time! That's how she makes friends with Amy, a shy and sweet girl who agrees to help Bibi get with Peter. But as they cook up all sorts of love schemes to win Peter over, Amy's place in Bibi's heart grows bigger and bigger by the day...(Source: Tappytoon)",https://cdn.myanimelist.net/images/manga/2/311477.jpg,8.28,60,"Jan  26, 2022 to Jun  7, 2023","Drama, Girls Love, School",https://myanimelist.net/manga/174045/I_Love_Amy
34,Sweet Home,"Cha Hyun is a reclusive high school student who spends his days holed up in his room playing video games. But when he loses his entire family in a tragic car accident, he is forced to leave his home and carefree lifestyle behind and move into a new apartment all by himself. However, his pesky neighbors and lack of money soon become the least of his worries as people around him suddenly begin turning into horrifying monsters, plunging the world into apocalyptic chaos.The situation takes a turn for the worse when Hyun realizes that he himself is slowly turning into a monster, while a mysterious voice in his head grows louder and louder. With his time running out, Hyun must work together with his fellow tenants to uncover the cause of the outbreak and find a way to survive in this hopeless new world, all the while fighting to retain his humanity.",https://cdn.myanimelist.net/images/manga/3/227600.jpg,8.27,141,"Oct  12, 2017 to Jul  2, 2020","Action, Drama, Horror, Suspense, Gore",https://myanimelist.net/manga/124845/Sweet_Home
35,Annarasumanara,"There is a rumor that a magician lives in the tent by the abandoned theme park; some even say his magic is real. However, before he starts his show, he always asks his audience: ""Do you believe in magic?""For Yoon Ah-ee, magic seems like a distant memory. Faced with the harsh reality of poverty, she spends all her time studying, working, and taking care of her younger sister in the absence of their parents. She no longer believes in the wonders of magic, just like her skeptical classmate Na Il-Deung, who has been brought up to believe that a good education is the only way to approach life.When Ah-ee stumbles into the abandoned theme park and has a chance encounter with the magician, her life is changed forever.Annarasumanarareveals a philosophical, heartwarming, and thought-provoking story of what it means to grow up into the person you want to be.",https://cdn.myanimelist.net/images/manga/3/71143.jpg,8.27,27,"Jul  2, 2010 to Dec  31, 2010","Drama, Mystery, Romance, Psychological, School",https://myanimelist.net/manga/30079/Annarasumanara
36,How to Win My Husband Over,"To protect herself from her abusive adoptive family, an orphan mastered the act of being a gleeful and submissive daughter. When she dies in an accident, she believes that she is finally free. However, fate cannot be more cruel; she is reincarnated as Rudbeckia ""Ruby"" de Borgia, a minor villainess from a novel who grows up in a violent household and dies at the hands of her husband.Ruby's father, the power-hungry pope, wishes to ruin the Britanya Kingdom by marrying Ruby off to Britanya's mightiest knight, Iske van Omerta, and having her poison his beloved sister, Elenia. But Ruby knows his plan will ultimately fail, and no member of the Borgias family will escape Iske's wrath and revenge alive. In order to prove her innocence when the time comes, Ruby must act as an oblivious and docile wife, for only by winning her husband over can she hope to survive.",https://cdn.myanimelist.net/images/manga/3/263122.jpg,8.25,Unknown,"Oct  21, 2021 to ?","Drama, Fantasy, Isekai, Psychological, Villainess",https://myanimelist.net/manga/148234/How_to_Win_My_Husband_Over
37,Virtual Strangers,"After a stalking incident, Yoon Ji-gu has become understandably wary of strangers. So when an odd man moves in next door, he immediately suspects the worst. Little does he know, Yeowoon is just a regular guy trying to land a job and enjoy his free time—until he finds himself dealing with a hostile neighbor. As their real-life misunderstandings escalate, the two unknowingly team up in their favorite online game, forming an unexpected duo.(Source: Lezhin Entertainment)",https://cdn.myanimelist.net/images/manga/2/291301.jpg,8.25,Unknown,"Jun  13, 2023 to ?","Boys Love, Comedy, Adult Cast, Video Game",https://myanimelist.net/manga/163877/Virtual_Strangers
